entry_id,date,posting_time,department,gl_account,account_description,vendor,amount,preparer,approver,po_number,invoice_number,flag_duplicate_payment,flag_three_way_mismatch,flag_weekend_posting,flag_odd_hour_posting,flag_round_number,flag_segregation_violation,rule_flag_count,flag_ml_anomaly,ml_anomaly_score,composite_risk_score,risk_tier
100534,2024-01-01,09:24:00,IT,5000,Raw Materials Expense,"Howard, Tucker and Flores",3772.81,Michael Rivas,Jeffrey Hancock,PO83001,INV635687,False,False,False,False,False,False,0,False,-0.040485415010822035,0.133914161634701,Low
103270,2024-01-01,10:12:00,Sales,5300,Professional Fees,Larson PLC,14698.16,Michael Fox,Jeffrey Hancock,PO314779,INV652616,False,False,False,False,False,False,0,False,-0.1171186440271379,0.047272866044218605,Low
100731,2024-01-01,11:05:00,Sales,5500,Utilities,"Brown, Baker and Alvarado",14696.45,Dawn Hall,Lawrence Davis,PO881236,INV991598,False,False,False,False,False,False,0,False,-0.11959405689106012,0.04447417179102585,Low
103381,2024-01-01,11:31:00,Procurement,5000,Raw Materials Expense,Raymond-Lucas,36706.24,Janice Bush,Sergio Arroyo,PO88088,INV505880,False,False,False,False,False,False,0,True,0.02663159737812837,0.2097964516567361,High
104584,2024-01-01,13:01:00,Sales,5100,Office Supplies,Pearson PLC,6997.03,Michael Fox,Anita Harris,PO362999,INV98206,False,False,False,False,False,False,0,False,-0.12189946207496727,0.04186768770365687,Low
103958,2024-01-01,13:30:00,Sales,5100,Office Supplies,Galvan Group,28475.34,Sergio Arroyo,James Dennis,PO437667,INV483360,False,False,False,False,False,False,0,False,-0.07513721468242762,0.09473694234448225,Low
104434,2024-01-01,13:41:00,HR,5200,Travel & Entertainment,Reyes-Glover,26299.24,Mary Harrison,Gary Mays,PO183264,INV283336,False,False,False,False,False,False,0,False,-0.04879410504139037,0.1245203819630275,Low
100714,2024-01-01,15:33:00,IT,5100,Office Supplies,White-Thomas,15660.09,Taylor Carroll,Sergio Arroyo,PO980380,INV639468,False,False,False,False,False,False,0,False,-0.1376501906079563,0.02405996194148653,Low
104899,2024-01-01,17:36:00,Marketing,5500,Utilities,Jones Inc,48084.68,Donald Ferguson,Donald Ferguson,PO713432,INV60099,False,False,False,False,False,True,1,True,0.02455443828157733,0.3074480219013565,High
100777,2024-01-01,17:52:00,Operations,5200,Travel & Entertainment,Lopez Ltd,27715.26,Michael Fox,Autumn Reed,PO665571,INV923610,False,False,False,False,False,False,0,False,-0.0683465835032146,0.10241440929708681,Low
100023,2024-01-01,18:20:00,Finance,6000,Vendor Payments,Hughes-Nichols,4282.35,Sergio Arroyo,Joy Hernandez,PO310007,INV271080,False,False,False,False,False,False,0,False,-0.053048956226965926,0.1197098601568215,Low
100529,2024-01-01,18:25:00,Sales,5300,Professional Fees,"Morton, Reynolds and Anderson",7830.87,Patricia Perry,Elizabeth Shea,PO527289,INV526034,False,False,False,False,False,False,0,False,-0.08995232269199971,0.07798702629972093,Low
103753,2024-01-02,09:18:00,Procurement,5300,Professional Fees,Gomez Ltd,22225.16,Nicole Clarke,Corey Jones,PO95608,INV46888,False,False,False,False,False,False,0,False,-0.05943533282230962,0.11248944220690707,Low
